ID,Title,Location,Salary,Summary
job_8a7924ec2e51c28b,Consultant_Infrastructure / Security,서울,"one or more... following: Azure PowerShell, CLI, Visual Studio, Python, Ruby, ARM or Terraform. Knowledge of Azure DevOps..."
job_7c1c386cd39fecbb,Data Engineer,서울,"격을 디자인 합니다. 이런 분을 찾습니다! • 2년 이상의 데이터 엔지니어 업무 경험이 있는 분 • Python 혹은 Scala를 능숙하게 사용하시는 분 • Batch Processing, Stream Processing..."
job_c35b4e0f2710969b,[AWS] Cloud Architect,서울,"through DevOps scripting (E.g. Shell, Python) · Configuration management using... 데브옵스 스크립작성 (Shell, Python 등)을 통한 인프라 자동화..."
job_9ecefce08d4b32df,"[TmaxMetaverse/R&D] 게임 엔진, 게임 서버, 메타버스 스튜디오 개발자",성남 분당구,"유경험자 - 리액트 기반 개발 유경험자 [주 사용 언어] - C++, C# - Java Script - Python - Spring, React - HTML [지원 시 참고 사항] - 기술, 경험, 지식 등이 상세히 담긴..."
job_c8f4783faff92438,[㈜삼표]Digital Innovation부문 모집,서울 수송동,"개발 [] ㆍ대졸 / 컴퓨터공학 석사 ㆍ오픈소스 머신러닝/딥러닝 빅데이터 분석 소프트웨어 지식보유자 ㆍ Python, Delphi 등 프로그래밍 언어 사용 가능자 ㆍMSSQL, MYSQL 등 관계형 Database 사용가..."
job_75c348600e4ba140,국내 대기업 - 고객 데이터분석 포지션,서울,"도출 경험자 - 데이터 분석 지식 및 분석 Tool((SQL, R, Python 등) 사용가능자 - 고객 Segmentation 및 타겟마케팅 실행... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
job_ceb8243bc8ae3c35,[데이터 플랫폼]서비스 데이터 엔지니어(전문연구요원 가능),서울,대용량 데이터 처리를 위한 인프라 스트럭처 개발 사내 데이터 분석 도구 개발 및 유지보수 이런 분을 찾습니다 Python 기반의 데이터 처리 경험이 있으신 분 Docker 환경에서 개발 경험이 있으신 분 AWS 클라우드 기반...
job_5373ec7f16244523,Renewables Consultant - Electrical Engineering,서울,"programming languages... PSS®E, PSCAD, PowerFactory Python, Matlab, etc; Experience with using MS Office suite packages..."
job_5d2f994752ec7178,Digital Design Engineer,서울,"Working knowledge of high level modeling/scripting tools like Python, Simulink, Matlab, or similar Expertise with mixed..."
job_e86e8e49e0fae8e8,서버리스 백엔드 개발자(경력 3년 이상),서울 강남구,"DevOPs 기반 개발[사용기술]php, laravel, aws, python, java [자격요건] 인터넷·IT·통신·모바일·게임>웹프로그래머... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임..."
job_bb01900aa7b4ab34,Solutions Architect,서울,"languages... Ruby, Python and Node... 현대 개발 언어에 대한 실무적 지식: 루비 (Ruby), 파이썬 ( Python), Node.js 등 · 개발자 및 IT 운영자 대상의 신기술 전파에..."
job_025b89990231eea6,[대형증권사] 자산배분전략 수립/모델개발,서울 강남구,통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML
job_cf0bdeeebd1f045f,지식 콘텐츠 전문 기업 (매출 120억) 웹개발자 경력,서울,"서버 환경 유경험자• PHP, Python 개발 경험[연봉]6,000~7... 대학교(4년)졸업 이상직무기술: RDBMS, jQuery, CSS, Python, 시스템운영(Was/Web), Kafka 1 명 근무조건 고용형태..."
job_1654fcd801c4dca6,DBA,서울,분이 필요합니다. # 이런 경험이 있다면 더 좋습니다 - MongoDB 운영 경험이 있으면 더 좋습니다. - Python으로 운영 자동화 스크립트 개발 경험이 있으면 더 좋습니다. # 토스팀으로의 합류 여정 - 서류 접수...
job_79fb95da6dff4025,하반기 신입(채용 연계형 인턴) 수시채용,서울 마곡동,"Python, R, 기타 코딩 능력 보유자 또는 통계 분석에 대한 기초 지식 보유자 중 1개 해당자 우대사항 · 통계 분석에 대한 기초 지식 보유자 · 기초 프로그래밍 코딩 구현 능력 보유자 ( Python or R..."
job_5b015b9613812d9d,Customer Data Analyst,서울,"긴밀하게 협업하고 데이터 기반 확장 가능한 서비스 모듈 추가 및 성능 향상에 기여합니다. 필수 조건 Python (pandas, numpy), R, SQL... VBA 사용에 익숙함 물류 프로세스 분석 및 설계..."
job_09af3f1292a9cf45,Systems Engineer (Cloud) - Korea,서울,"Linux and Windows operating systems, scripting languages like Python, and cloud provider ecosystems like Amazon AWS, Azure..."
